priority_rank,candidate_id,validation_tier,humanization_priority,overall_sequence_triage_score,developability_score,humanness_proxy_score,recommended_next_step,reason
1,pres_jTG7v5zEhhhpeEHFclpN,top50_validated_selective_A,humanize_after_binding_confirmed_standard,93.95,89.0,100,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk low; flags: deamidation_motif;methionine_oxidation_liability.
2,pres_6G1B2n1xMy2MZ4HXyb46,top50_validated_selective_A,humanize_after_binding_confirmed_standard,92.5,88.0,98,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk low; flags: deamidation_motif;methionine_oxidation_liability;cdr3_proxy_proline.
3,pres_i94bYppgS2dMhtAbEAQD,top50_validated_selective_A,humanize_after_binding_confirmed_standard,85.8,84.0,88,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: moderate_hydrophobic_fraction;extreme_predicted_pI.
4,pres_soBAobFO890XLhMhYoak,top50_validated_selective_A,humanize_after_binding_confirmed_standard,92.9,92.0,94,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk low; flags: deamidation_motif;methionine_oxidation_liability.
5,pres_LwyRkhXUVubUUYp8cPBB,top50_validated_selective_A,humanize_after_binding_confirmed_high_priority,83.7,72.0,98,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: extreme_predicted_pI;deamidation_motif;dg_isomerization_motif;methionine_oxidation_liability;cdr3_proxy_proline.
6,pres_vG1sxNuCwnvUtHurTTvP,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,84.5,80.0,90,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: extreme_predicted_pI;dg_isomerization_motif;cdr3_proxy_proline.
7,pres_w400jq4PyZUxWVS4EStm,top50_validated_selective_A,humanize_after_binding_confirmed_standard,79.6,76.0,84,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: moderate_hydrophobic_fraction;extreme_predicted_pI;dg_isomerization_motif;cdr3_proxy_proline.
8,pres_W1yhUy8pQWn4TuThs9oa,top50_validated_selective_B,humanize_after_binding_confirmed_high_priority,62.55,63.0,62,Keep original sequence for first binding screen; humanize only confirmed binders.,lower proxy humanness; developability risk elevated; flags: high_hydrophobic_fraction;extreme_predicted_pI;dg_isomerization_motif;methionine_oxidation_liability;cdr3_proxy_proline.
9,pres_du8dYk7n3pAwDj5bUdDE,top50_validated_selective_A,humanize_after_binding_confirmed_standard,95.5,100,90,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk low; flags: none.
10,pres_uJgL2UdTMXxFBTC2Cmfc,marco_confident_but_offtarget_risk,optional_if_selected_as_backup,84.5,80.0,90,Keep original sequence for first binding screen; humanize only confirmed binders.,higher proxy humanness; developability risk moderate; flags: extreme_predicted_pI;deamidation_motif;methionine_oxidation_liability;cdr3_proxy_proline.
